# timestamps [seconds],pts
24202.191154,1567809
24202.223144,1569905
24202.255010,1571994
24202.290854,1574343
24202.323874,1576507
24202.355071,1578551
24202.391202,1580919
24202.422900,1582996
24202.454931,1585095
24202.490892,1587452
24202.522936,1589552
24202.555018,1591655
24202.591387,1594038
24202.622883,1596102
24202.654979,1598205
24202.686848,1600294
24202.722920,1602658
24202.754993,1604760
24202.787875,1606915
24202.823197,1609230
24202.854812,1611302
24202.886895,1613404
24202.922972,1615768
24202.954903,1617861
24202.986923,1619959
24203.023233,1622339
24203.055060,1624425
24203.087038,1626520
24203.123055,1628881
24203.154975,1630973
24203.186922,1633066
24203.219021,1635170
24203.254975,1637526
24203.286933,1639621
24203.319051,1641725
24203.354986,1644080
24203.386972,1646177
24203.418974,1648274
24203.454942,1650631
24203.487117,1652740
24203.519946,1654891
24203.555071,1657193
24203.587010,1659286
24203.618979,1661381
24203.651038,1663482
24203.687046,1665842
24203.718950,1667933
24203.751012,1670034
24203.786941,1672389
24203.818921,1674484
24203.851116,1676594
24203.886980,1678945
24203.919081,1681048
24203.950936,1683136
24203.986914,1685494
24204.018972,1687595
24204.051025,1689695
24204.082910,1691785
24204.119535,1694185
24204.151045,1696250
24204.182982,1698343
24204.218961,1700701
24204.251123,1702809
24204.282918,1704892
24204.318912,1707251
24204.350896,1709347
24204.383023,1711453
24204.419035,1713813
24204.451029,1715910
24204.483050,1718008
24204.519072,1720369
24204.551060,1722465
24204.582910,1724552
24204.614939,1726651
24204.651096,1729021
24204.683041,1731115
24204.715075,1733214
24204.751292,1735587
24204.782961,1737663
24204.815946,1739824
24204.851214,1742136
24204.882962,1744216
24204.914942,1746312
24204.951013,1748676
24204.983055,1750776
24205.015064,1752874
24205.046995,1754966
24205.083210,1757340
24205.115043,1759426
24205.147048,1761523
24205.183018,1763881
24205.214917,1765971
24205.246877,1768066
24205.282978,1770431
24205.315074,1772535
24205.347058,1774631
24205.383047,1776989
24205.414908,1779077
24205.446929,1781176
24205.482972,1783538
24205.515045,1785640
24205.546908,1787728
24205.579652,1789874
24205.614943,1792187
24205.646991,1794287
24205.679098,1796391
24205.715031,1798746
24205.746943,1800837
24205.779036,1802941
24205.814980,1805296
24205.846954,1807392
24205.879098,1809498
24205.915094,1811857
24205.946951,1813945
24205.979141,1816054
24206.014944,1818401
24206.046881,1820494
24206.079077,1822604
24206.111008,1824696
24206.147008,1827056
24206.179130,1829161
24206.210899,1831243
24206.247096,1833615
24206.279110,1835713
24206.310863,1837794
24206.346949,1840159
24206.379001,1842259
24206.411115,1844364
24206.447021,1846717
24206.478979,1848811
24206.510937,1850906
24206.543031,1853009
24206.579100,1855373
24206.610964,1857461
24206.642914,1859555
24206.678874,1861911
24206.710831,1864006
24206.742951,1866111
24206.779721,1868520
24206.811148,1870580
24206.842911,1872662
24206.878932,1875022
24206.910945,1877120
24206.942994,1879221
24206.975019,1881319
24207.011052,1883681
24207.042934,1885770
24207.074921,1887866
24207.111011,1890232
24207.143056,1892332
24207.174999,1894425
24207.211021,1896786
24207.242910,1898876
24207.275129,1900987
24207.310955,1903335
24207.342926,1905430
24207.374928,1907527
24207.411099,1909898
24207.442914,1911983
24207.475074,1914090
24207.507085,1916188
24207.542980,1918541
24207.575174,1920650
24207.607104,1922743
24207.643010,1925096
24207.675174,1927204
24207.706997,1929289
24207.742978,1931647
24207.775036,1933748
24207.806933,1935839
24207.843190,1938215
24207.875069,1940304
24207.907058,1942400
24207.938927,1944489
24207.974932,1946849
24208.007046,1948953
24208.039055,1951051
24208.074909,1953401
24208.107127,1955512
24208.139092,1957607
24208.174943,1959956
24208.206955,1962054
24208.239009,1964155
24208.275079,1966519
24208.307133,1968619
24208.339477,1970739
24208.371149,1972815
24208.406956,1975161
24208.439092,1977267
